[14:19:38] [Trend] EXEC: BUY 1 DIVISLAB.NS @ 6,668.00 | Strat Cash: 475,437.50 | Pos: 1
[14:19:38] [Trend] EXEC: BUY 7 DRREDDY.NS @ 1,295.10 | Strat Cash: 466,371.80 | Pos: 7
[14:19:38] [Trend] EXEC: BUY 4 NESTLEIND.NS @ 2,228.80 | Strat Cash: 457,456.60 | Pos: 4
[14:19:38] [Trend] EXEC: BUY 6 RELIANCE.NS @ 1,401.50 | Strat Cash: 449,047.60 | Pos: 6
[14:20:39] [Trend] EXEC: BUY 3 GRASIM.NS @ 2,727.40 | Strat Cash: 440,865.40 | Pos: 3
[14:20:39] [MeanReversion] EXEC: BUY 6 INFY.NS @ 1,513.50 | Strat Cash: 490,919.00 | Pos: 6
[14:21:41] [MeanReversion] EXEC: SELL 6 CIPLA.NS @ 1,576.60 | Strat Cash: 500,378.60 | Pos: 0
[14:21:41] [Trend] EXEC: BUY 8 TATACONSUM.NS @ 1,063.60 | Strat Cash: 432,356.60 | Pos: 8
[14:21:41] [Trend] EXEC: BUY 11 UPL.NS @ 726.95 | Strat Cash: 424,360.15 | Pos: 11
[14:22:40] [Trend] EXEC: SELL 3 GRASIM.NS @ 2,720.00 | Strat Cash: 508,160.00 | Pos: 0
[14:22:40] [Trend] EXEC: BUY 5 SBILIFE.NS @ 1,831.00 | Strat Cash: 499,005.00 | Pos: 5
[14:22:40] [Trend] EXEC: SELL 14 TATAMOTORS.NS @ 691.20 | Strat Cash: 508,681.80 | Pos: 0
[14:22:40] [Trend] EXEC: SELL 11 UPL.NS @ 726.55 | Strat Cash: 516,673.85 | Pos: 0
[14:25:26] [Trend] EXEC: BUY 3 ADANIENT.NS @ 2,552.20 | Strat Cash: 492,343.40 | Pos: 3
[14:25:26] [Trend] EXEC: BUY 1 APOLLOHOSP.NS @ 7,462.50 | Strat Cash: 484,880.90 | Pos: 1
[14:25:26] [Trend] EXEC: BUY 4 ASIANPAINT.NS @ 2,401.50 | Strat Cash: 475,274.90 | Pos: 4
[14:25:26] [Trend] EXEC: BUY 8 AXISBANK.NS @ 1,067.00 | Strat Cash: 466,738.90 | Pos: 8
[14:25:26] [Trend] EXEC: BUY 1 BAJAJ-AUTO.NS @ 8,141.00 | Strat Cash: 458,597.90 | Pos: 1
[14:25:26] [Trend] EXEC: BUY 4 BAJAJFINSV.NS @ 1,975.90 | Strat Cash: 450,694.30 | Pos: 4
[14:25:26] [Trend] EXEC: BUY 4 BHARTIARTL.NS @ 1,921.60 | Strat Cash: 443,007.90 | Pos: 4
[14:25:26] [Trend] EXEC: BUY 1 BRITANNIA.NS @ 5,625.50 | Strat Cash: 437,382.40 | Pos: 1
[14:25:26] [Trend] EXEC: BUY 22 COALINDIA.NS @ 382.20 | Strat Cash: 428,974.00 | Pos: 22
[14:25:26] [Trend] EXEC: BUY 1 DIVISLAB.NS @ 6,676.50 | Strat Cash: 422,297.50 | Pos: 1
[14:25:26] [Trend] EXEC: BUY 6 DRREDDY.NS @ 1,296.40 | Strat Cash: 414,519.10 | Pos: 6
[14:25:26] [Trend] EXEC: BUY 1 EICHERMOT.NS @ 5,468.50 | Strat Cash: 409,050.60 | Pos: 1
[14:25:26] [Trend] EXEC: BUY 3 GRASIM.NS @ 2,723.50 | Strat Cash: 400,880.10 | Pos: 3
[14:25:26] [Trend] EXEC: BUY 3 HINDUNILVR.NS @ 2,455.00 | Strat Cash: 393,515.10 | Pos: 3
[14:25:26] [Trend] EXEC: BUY 5 INFY.NS @ 1,516.80 | Strat Cash: 385,931.10 | Pos: 5
[14:25:26] [Trend] EXEC: BUY 3 KOTAKBANK.NS @ 1,971.90 | Strat Cash: 380,015.40 | Pos: 3
